ID,Nome,Tamanho,Valor
1,EMEL Fashion,S,27.0885183848853
2,Loyandford,M,79.811651575757
3,Countess Mara,L,29.80512190182
4,Tommy Hilfinger,S,26.5614444006055
5,Forever 21,XXS,68.6170895419163
6,Mataano,XL,28.2880912177675
7,JNCO,S,69.8066508433812
8,Baby Gap,XL,94.975151418231
9,DKNY,XL,55.8269344185604
10,Avirex,S,17.1872219807409
11,Loyandford,S,87.6077916592396
12,SABA,M,85.7497130039845
13,Lilli Ann,XXS,44.7176286879543
14,Angels Jeanswear,XL,84.9262124341569
15,Brooks Brothers,L,26.0089094596956
16,TNT,L,12.5119369167424
17,Converse,M,64.4232625949305
18,Lee,S,79.1648338801064
19,Ex-Boyfriend,XS,24.0585756469791
20,Avirex,XXXL,95.5889011745289
21,Mataano,L,55.6143775785409
22,Koton,M,57.5182040568992
23,C&A,XL,76.7706745801357
24,Bujo,One Size,58.3814952622082
25,Max Studio,S,62.0087709249969
26,Forever Lazy,S,88.8199673568923
27,Real Gold,M,81.8946186582998
28,Angels Jeanswear,XXL,19.3784348314528
29,Andrew Marc,XXXL,51.6491933654292
30,Ethika,XS,31.7428563412944
31,C&A,One Size,68.2262861725065
32,H&M,XXS,9.7344906030849
33,Marchesa,XXL,74.3734448395546
34,Brooks Brothers,L,98.0525203659444
35,Brooks Brothers,XXXL,34.9232467277549
36,Angels Jeanswear,XXXL,12.9394936533363
37,Ethika,S,74.4038947789948
38,H&M,L,93.7991717386987
39,Bujo,XXL,27.4628625290761
40,Avirex,XXXL,16.2405651743713
41,Rip Curl,XXS,96.5455376149833
42,Brooks Brothers,XXL,33.0649601170164
43,Hamilton Shirts,XS,59.7059752655709
44,Countess Mara,S,33.0589412995889
45,Tommy Hilfinger,XXXL,77.2624702296511
46,Nudie Jeans,XXXL,9.98324929176981
47,Marchesa,L,31.1643866967244
48,Baby Gap,XS,30.388028787164
49,Cherokee Inc.,XXS,72.3214499425709
50,Karen Kane,XL,88.6338002707967
